d	3649702
✿	584
❌	1
ϰ	1
e	10484059
f	1826669
g	1604138
h	5135129
i	5303119
j	87725
k	619594
l	3327388
m	2105135
n	5740928
o	6502413
ў	28
p	1344241
q	93856
r	4994380
s	5089325
t	7327929
u	2464556
v	805412
w	1819805
x	127546
y	1690123
z	48558
{	899
|	769
}	903
・	3
~	72
ִ	1
ֵ	1
ֶ	3
ָ	2
ּ	4
ֽ	3
ׂ	1
ג	1
ד	3
ה	2
ו	3
ח	1
ט	1
י	1
כ	2
ע	2
ץ	1
ר	2
ש	1
آ	1
ا	2
س	2
ص	1
 	59
ل	2
م	1
و	2
¡	1425
َ	1
£	1124
§	1
©	3
«	1175
­	11
°	63
´	6
¶	3
·	8
º	4
»	1207
¼	1
½	22
¾	6
¿	2111
À	111
Á	2
Ä	6
Æ	64
Ç	51
È	113
É	510
Ê	2
Ë	2
Í	7
Ó	2
Ô	14
Ö	8
×	2
Ù	3
Ú	1
Ü	13
ß	758
à	3379
á	4202
â	1195
ä	1047
å	1
æ	878
